Date,Open,High,Low,Close,Adj Close,Volume
2015-01-13,135.643814,137.441467,133.319397,134.297653,91.616852,3232788
2015-01-14,132.976593,134.222412,132.525085,133.645493,91.171959,2372266
2015-01-15,134.523407,134.983276,133.252502,133.494980,91.069290,2244653
2015-01-16,133.662201,135.602005,133.018402,135.451508,92.404015,2810241
2015-01-20,136.053513,136.622070,133.829437,135.401337,92.369774,2501793
2015-01-21,135.167221,136.596985,134.632111,135.903015,92.712029,1910849
2015-01-22,136.505020,138.787628,135.560196,138.704010,94.622849,2662057
2015-01-23,138.586960,138.779266,137.048492,137.140472,93.556221,2685738
2015-01-26,136.806015,137.357864,135.284286,137.324417,93.681686,4253335
2015-01-27,135.710709,138.076920,134.565216,136.814377,93.333740,5012077
2015-01-28,137.633774,139.272568,136.923080,137.073578,93.510590,4275222
2015-01-29,137.182281,138.929764,136.187286,138.904678,94.759750,3198822
2015-01-30,137.750839,138.143814,135.702347,135.702347,92.575142,4260032
2015-02-02,135.551834,137.642136,134.523407,137.474915,93.784363,2846121
2015-02-03,138.102005,138.954849,137.717392,138.745819,94.651375,3115341
2015-02-04,138.612045,138.653839,137.324417,137.801010,94.006805,2826866
2015-02-05,138.219070,139.289291,137.750839,139.255859,94.999313,2452398
2015-02-06,138.988297,140.200668,138.428101,138.854507,94.725517,2184972
2015-02-09,137.441467,138.411377,136.989960,137.826080,94.023941,2479308
2015-02-10,138.294312,138.913040,137.625412,138.645493,94.582939,2254580
2015-02-11,137.558533,137.934784,136.680603,137.525085,94.517372,2027340
2015-02-12,137.901337,138.754181,137.834442,138.720734,95.339073,1932377
2015-02-13,138.712372,139.314377,138.235779,138.745819,95.356323,2143232
2015-02-17,138.745819,139.565216,138.035110,139.565216,95.919487,2512676
2015-02-18,139.565216,140.058533,138.804352,139.966553,96.195305,1856192
2015-02-19,139.966553,140.091980,139.280930,139.707352,96.017181,1971965
2015-02-20,139.414719,140.693985,138.068558,140.568558,96.609016,2890254
2015-02-23,140.585281,141.195648,140.217392,141.145493,97.005562,2195856
2015-02-24,140.693985,141.513382,140.526749,141.404678,97.183670,2117279
2015-02-25,141.279266,141.856186,140.986618,141.212372,97.051552,2414844
2015-02-26,141.178925,142.123749,141.003342,141.814377,97.465279,2140122
2015-02-27,141.856186,141.931442,140.936462,141.011703,96.913612,2327416
2015-03-02,140.602005,142.558533,140.568558,142.558533,97.976700,2658828
2015-03-03,141.780930,141.806015,139.933105,140.693985,96.695251,2669950
2015-03-04,140.685623,140.685623,139.180603,139.765884,96.057411,1884537
2015-03-05,139.807693,140.217392,139.372910,140.108704,96.292992,1850451
2015-03-06,139.214050,139.439804,137.132111,137.424744,94.448380,2528822
2015-03-09,137.725754,139.448166,137.550171,139.105347,95.603416,1923288
2015-03-10,137.801010,137.842804,135.660538,135.668900,93.241653,3067262
2015-03-11,136.036789,136.471573,135.167221,135.225754,92.937080,2265583
2015-03-12,135.944809,137.558533,135.928101,137.516724,94.511597,2051140
2015-03-13,137.140472,137.449829,135.267563,136.070236,93.517494,2732501
2015-03-16,136.772568,139.021744,136.772568,138.971573,95.511497,2524995
2015-03-17,138.394653,138.403015,136.605347,137.316055,94.373688,3059248
2015-03-18,136.421402,139.590302,135.493317,139.188965,95.660889,3662630
2015-03-19,138.929764,138.971573,137.834442,138.511703,95.195435,2336386
2015-03-20,138.871231,139.740799,138.285950,139.205688,95.672363,5228673
2015-03-23,139.489960,139.556854,138.653839,138.904678,95.465515,2580131
2015-03-24,138.444809,140.175583,138.403015,139.063538,95.574677,2500836
2015-03-25,138.996658,139.230774,136.003342,136.036789,93.494492,3038916
2015-03-26,135.451508,136.596985,134.790970,135.944809,93.431267,2452637
2015-03-27,135.752502,137.040131,135.468231,136.705688,93.954224,2060230
2015-03-30,137.290970,139.439804,137.290970,138.837799,95.419548,2014064
2015-03-31,138.302673,138.795990,137.642136,137.918060,94.787453,2489235
2015-04-01,137.366226,137.575256,135.367889,135.886292,93.391052,2569128
2015-04-02,136.605347,137.098663,135.551834,136.120407,93.551971,2215710
2015-04-06,135.167221,138.787628,134.949829,138.361206,95.092003,3062119
2015-04-07,138.294312,140.108704,138.193985,138.971573,95.511497,2965482
2015-04-08,138.971573,139.816055,138.135452,139.021744,95.545967,2098262
2015-04-09,139.005020,139.782608,138.026749,139.456528,95.844788,2009400
2015-04-10,140.050171,140.217392,138.979935,139.690628,96.005684,1796272
2015-04-13,139.431442,139.933105,138.461533,138.662201,95.298882,2225038
2015-04-14,138.227432,139.197327,137.265884,138.787628,95.385086,2289503
2015-04-15,139.397995,139.916382,138.678925,139.163879,95.643661,2386977
2015-04-16,138.570236,139.339462,138.043472,138.704010,95.327606,1988709
2015-04-17,137.566895,137.575256,134.724075,135.209030,92.925598,3663946
2015-04-20,136.287628,138.285950,136.061874,137.550171,94.534599,2863463
2015-04-21,138.503342,138.545151,136.806015,137.123749,94.241524,2356718
2015-04-22,136.964890,137.867889,135.928101,137.683945,94.626526,2665645
2015-04-23,133.394653,134.991638,132.617050,133.494980,91.747551,6822582
2015-04-24,133.620407,133.620407,131.981598,132.934784,91.362602,3640026
2015-04-27,133.344482,133.837799,131.948166,132.090302,90.782181,4124765
2015-04-28,131.847824,132.408020,130.585281,132.382950,90.983315,4051928
2015-04-29,131.622070,132.048492,130.585281,131.245819,90.201767,3682006
2015-04-30,131.120407,132.040131,130.443146,130.760864,89.868469,4198199
2015-05-01,131.095322,132.182281,131.095322,131.839462,90.609756,2583480
2015-05-04,132.441467,133.653839,132.006683,132.959869,91.379791,2679399
2015-05-05,132.826080,133.319397,131.613708,132.031769,90.741943,2329449
2015-05-06,132.040131,133.010040,130.894653,131.806015,90.586800,2634908
2015-05-07,131.463211,133.110367,131.463211,132.617050,91.144188,2527028
2015-05-08,133.988297,134.949829,133.829437,134.280930,92.287735,2422498
2015-05-11,133.996658,134.615387,133.612045,133.695648,91.885460,2043605
2015-05-12,132.700668,134.113708,132.115387,133.837799,91.983162,2230301
2015-05-13,134.138794,135.234116,134.080261,134.874588,92.695740,3095128
2015-05-14,135.526749,136.538467,135.284286,136.413040,93.753090,2945150
2015-05-15,136.413040,136.931442,135.994980,136.538467,93.839272,2300865
2015-05-18,136.287628,136.780930,135.710709,136.178925,93.592155,2090369
2015-05-19,136.346161,136.780930,135.911377,136.387955,93.735847,2481820
2015-05-20,135.802673,136.346161,135.317719,135.367889,93.739235,2365808
2015-05-21,135.367889,135.744141,135.284286,135.501678,93.831871,2871357
2015-05-22,135.443146,135.727432,134.331100,134.598663,93.206589,2179949
2015-05-26,134.598663,134.882950,132.976593,133.436462,92.401779,2955436
2015-05-27,133.628769,134.874588,133.386292,134.632111,93.229744,3140576
2015-05-28,134.071899,134.523407,133.453171,134.506683,93.142876,1887408
2015-05-29,134.147156,134.439804,132.725754,133.010040,92.106499,3445078
2015-06-01,133.026749,133.578598,132.583618,132.926422,92.048576,2279696
2015-06-02,132.341141,133.678925,132.065216,133.010040,92.106499,2967396
2015-06-03,133.453171,134.197327,132.926422,133.913040,92.731804,2481102
2015-06-04,133.369568,134.096985,132.182281,132.399673,91.683815,2676170
2015-06-05,131.688965,132.081940,131.245819,131.337799,90.948509,2768501
2015-06-08,130.852844,131.613708,130.685623,130.928101,90.664780,1923886
2015-06-09,131.145493,132.324417,130.936462,131.254181,90.890617,2165717
2015-06-10,131.229095,133.419739,131.229095,132.976593,92.083344,2103644
2015-06-11,133.043472,134.080261,132.943146,133.662201,92.558090,2217623
2015-06-12,133.653839,133.770905,132.006683,132.140472,91.504341,2284958
2015-06-15,131.337799,131.538467,129.924744,130.326080,90.247910,2814308
2015-06-16,130.008362,131.304352,129.908020,130.844482,90.606888,2068243
2015-06-17,130.936462,131.764221,130.225754,131.229095,90.873222,2199922
2015-06-18,131.764221,133.979935,131.596985,133.461533,92.419136,3024564
2015-06-19,133.244141,133.678925,132.892975,132.901337,92.031219,3931491
2015-06-22,133.653839,134.364548,133.319397,133.511703,92.453888,1731090
2015-06-23,134.122070,134.506683,133.369568,133.645493,92.546524,2734534
2015-06-24,133.511703,133.745819,131.722412,131.722412,91.214836,3424028
2015-06-25,131.981598,132.374588,130.367889,130.367889,90.276855,3066544
2015-06-26,130.568558,132.098663,130.376251,131.346161,90.954323,3140098
2015-06-29,130.367889,130.802673,128.695648,128.720734,89.136230,2960100
2015-06-30,129.598663,129.849503,128.821075,129.013382,89.338898,3062956
2015-07-01,130.543472,130.794312,129.314377,130.142136,90.120537,2065253
2015-07-02,130.501678,130.501678,129.515045,129.916382,89.964188,2418790
2015-07-06,128.670563,130.083618,128.620407,129.665558,89.790512,2597951
2015-07-07,129.715714,130.125412,128.060196,129.958191,89.993141,3426899
2015-07-08,128.829437,129.180603,127.675583,127.683945,88.418289,3125507
2015-07-09,129.255859,130.016724,128.553513,128.553513,89.020447,2474763
2015-07-10,129.381271,130.317719,129.180603,129.556854,89.715248,2465315
2015-07-13,130.785950,131.078598,130.142136,130.827759,90.595306,2520211
2015-07-14,130.844482,131.337799,130.668900,131.086960,90.774788,2166434
2015-07-15,130.911377,131.270905,130.351166,130.434784,90.323204,2136176
